"","state_name","delta_1970","delta_1980","delta_1990","delta_2000","delta_2010","delta_2020","order","recovery","code"
"33","Alberta",0.99971230009439,0.999730074180922,0.999765354129556,0.999791826575904,0.999845585940991,0.999869010925157,1,"PPR",5
"3","Arkansas",0.89691130532415,0.793312142775982,0.914872541530626,0.92621581337863,0.859761737594338,0.994080090893902,2,"MIS",3
"4","California",0.94369574732128,0.946812205082431,0.944909756865533,0.943104216554478,0.951597963992373,0.965037474539302,3,"PAC",4
"7","Idaho",0.985254945038454,0.986918380410713,0.989317183626134,0.990706462957016,0.99415106060856,0.998344888521085,4,"PAC",4
"8","Illinois",0.873143126465932,0.880105957880246,0.891020342798762,0.899828623602853,0.928846552906914,0.982811344872487,5,"MIS",3
"18","Montana",0.990859785563629,0.992132193178697,0.993798006780579,0.995005662400593,0.997026150589173,0.999585910167201,6,"PPR",5
"25","Oregon",0.985384622989636,0.986478955391004,0.987844913439507,0.987703898079588,0.991868687952001,0.997326321308621,7,"PAC",4
"28","Texas",0.947606696387708,0.947763906911183,0.951737706910903,0.951618645598185,0.962825728023266,0.981927879455955,8,"GULF",2
"35","Manitoba",0.995265066945808,0.996924345851827,1.00613606723142,1.00180800816382,0.995269943246596,1.00369390010336,9,"PPR",5
"1","Alabama",0.980132926887604,0.978687821076641,0.982395754873619,0.979469666304449,0.982345066898319,0.988994019761211,10,"GULF",2
"10","Iowa",0.893332181183618,0.899763941427552,0.911790924978969,0.925432838016409,0.957543777872971,0.99733893793451,11,"MIS",3
"13","Louisiana",0.92891938026506,0.936039354212586,0.933506937493615,0.951270712900738,1.02138594950493,1.02635112487653,12,"GULF",2
"15","Minnesota",0.958708762808656,0.963841899669419,0.969800060295076,0.975193615283818,0.984839125233984,0.998193132701656,13,"PPR",5
"17","Missouri",0.886544395177157,0.88071127184972,0.901946780829649,0.908315834566588,0.934202252155817,0.980722218394319,14,"MIS",3
"22","North Dakota",0.979225272703157,0.982351185751556,0.985604237530421,0.989234713847556,0.993971710581159,0.999861463766958,15,"PPR",5
"31","Wisconsin",0.971556477368078,0.975631169552858,0.979616294648157,0.982315452992815,0.98775595586271,0.995490509383762,16,"MIS",3
"37","Saskatchewan",0.999944795940951,0.999941679954919,0.99993867101542,0.999935512012964,0.999953529973383,0.999949425619946,17,"PPR",5
"5","Colorado",0.982920259421527,0.984382661994632,0.986311117749681,0.986781308501641,0.989888297092798,0.994284167707424,18,"CEN",1
"11","Kansas",0.946212929544633,0.951933458068366,0.957853655731163,0.962160340711482,0.972858090632749,0.990156650808143,19,"CEN",1
"27","Tennessee",0.924911645220293,0.926443408516359,0.933932511581261,0.925156099927633,0.942068876769604,0.967439758177914,20,"MIS",3
"26","South Dakota",0.989689080826498,0.991262647961634,0.992962509938219,0.994491683446278,0.996745717468314,0.999669592333484,21,"PPR",5
"32","Wyoming",0.991537180233494,0.992469743762165,0.99404412316573,0.995294976797177,0.996956895002555,0.999320612627447,22,"CEN",1
"16","Mississippi",0.913637250974182,0.921022648777807,0.931098523593165,0.942655800074106,0.96488510397275,0.996406927323754,23,"GULF",2
"19","Nebraska",0.979242000561527,0.982147329239328,0.985476651609439,0.987961549847115,0.992277073346924,0.99819189952145,24,"CEN",1
"36","Ontario",0.989794159307404,0.988238003172592,1.0008640631001,0.998367334501213,0.996850638590271,0.997361945247316,25,"MIS",3
"12","Kentucky",0.945848811393756,0.946084363905271,0.956302890743954,0.946033050662952,0.952644318796624,0.968219587386558,26,"MIS",3
"24","Oklahoma",0.984909936842533,0.981755968443285,0.98425196736305,0.978039958683361,0.979642811691648,0.983807672053517,27,"CEN",1
"30","Washington",0.981113393386777,0.981824391794972,0.982899261196338,0.981376884165039,0.984389541666044,0.989006052455882,28,"PAC",4
"34","British Columbia",0.999685092177627,0.999647960713605,0.999596648920373,0.999500944235292,0.999539753825401,0.999551575790599,29,"PAC",4
"21","New Mexico",0.993513597446892,0.993638512081416,0.99399095085206,0.993846910474237,0.994734287381482,0.996251263397054,30,"CEN",1
"9","Indiana",0.851148570250427,0.857741637748158,0.865113080389627,0.872487954715483,0.911966413179328,0.985839621494992,31,"MIS",3
"20","Nevada",0.995435147123028,0.995345321701864,0.994821143130082,0.993115284511309,0.994161363303592,0.995355497061299,32,"PAC",4
"29","Utah",0.991580221800362,0.99198291037339,0.993007655345564,0.993011894085461,0.995023289489942,0.997341356483312,33,"PAC",4
"14","Michigan",0.94884927458499,0.944897945572551,0.973549246344956,0.963797738248428,0.973028511437052,0.995609659776719,34,"MIS",3
"2","Arizona",0.986323785489969,0.983514497639133,0.980781622664042,0.974365130126333,0.97673054753422,0.980525614535163,35,"PAC",4
"23","Ohio",0.792873401959143,0.824294676385888,0.840520020183039,0.852644203858589,0.878818043882758,0.962534137516236,36,"MIS",3
"38","Mexico",0.9820853410781,0.971214727335697,0.955561683468662,0.93517447179883,0.921323179677001,0.908050981784046,37,"GULF",2
"6","Florida",0.943593905599101,0.950008828439537,0.987675053453301,0.965583548073799,0.975003705490926,0.992090375961119,38,"GULF",2
