state,year,variable,code,Order
Washington,1960,21.98375378,US-WA,28
Washington,1961,22.67539406,US-WA,28
Washington,1962,21.15720234,US-WA,28
Washington,1963,21.7129015,US-WA,28
Washington,1964,20.44124107,US-WA,28
Washington,1965,21.77058334,US-WA,28
Washington,1966,21.21646881,US-WA,28
Washington,1967,23.74164963,US-WA,28
Washington,1968,20.83737831,US-WA,28
Washington,1969,21.25109482,US-WA,28
Washington,1970,21.69204655,US-WA,28
Washington,1971,20.99352303,US-WA,28
Washington,1972,21.17135086,US-WA,28
Washington,1973,21.38744335,US-WA,28
Washington,1974,22.71479568,US-WA,28
Washington,1975,20.8860075,US-WA,28
Washington,1976,20.72061214,US-WA,28
Washington,1977,21.49112015,US-WA,28
Washington,1978,21.30427628,US-WA,28
Washington,1979,22.66008186,US-WA,28
Washington,1980,20.64439163,US-WA,28
Washington,1981,20.94539089,US-WA,28
Washington,1982,21.14574184,US-WA,28
Washington,1983,20.28245354,US-WA,28
Washington,1984,20.52050247,US-WA,28
Washington,1985,21.2288147,US-WA,28
Washington,1986,21.7814682,US-WA,28
Washington,1987,22.87586212,US-WA,28
Washington,1988,22.08511391,US-WA,28
Washington,1989,21.61063786,US-WA,28
British Columbia,1960,14.81973228,CA-BC,29
British Columbia,1961,15.74149876,CA-BC,29
British Columbia,1962,14.58294859,CA-BC,29
British Columbia,1963,15.55449257,CA-BC,29
British Columbia,1964,14.04401226,CA-BC,29
British Columbia,1965,15.38946457,CA-BC,29
British Columbia,1966,14.46259985,CA-BC,29
British Columbia,1967,16.18671131,CA-BC,29
British Columbia,1968,13.97034283,CA-BC,29
British Columbia,1969,14.63030272,CA-BC,29
British Columbia,1970,14.7200366,CA-BC,29
British Columbia,1971,14.71107321,CA-BC,29
British Columbia,1972,13.97538338,CA-BC,29
British Columbia,1973,14.13108559,CA-BC,29
British Columbia,1974,15.04900684,CA-BC,29
British Columbia,1975,14.49519386,CA-BC,29
British Columbia,1976,13.94685259,CA-BC,29
British Columbia,1977,14.82821865,CA-BC,29
British Columbia,1978,15.48027611,CA-BC,29
British Columbia,1979,16.01224155,CA-BC,29
British Columbia,1980,14.62192726,CA-BC,29
British Columbia,1981,15.17734337,CA-BC,29
British Columbia,1982,15.43582077,CA-BC,29
British Columbia,1983,14.12381392,CA-BC,29
British Columbia,1984,13.56068077,CA-BC,29
British Columbia,1985,14.37730398,CA-BC,29
British Columbia,1986,15.32999153,CA-BC,29
British Columbia,1987,15.83901577,CA-BC,29
British Columbia,1988,14.78668404,CA-BC,29
British Columbia,1989,15.97986965,CA-BC,29
Idaho,1960,23.9966753,US-ID,4
Idaho,1961,23.60693245,US-ID,4
