state,year,variable,code,Order
Washington,1960,75.33417282,US-WA,28
Washington,1961,79.27096939,US-WA,28
Washington,1962,63.59972572,US-WA,28
Washington,1963,67.64163666,US-WA,28
Washington,1964,58.44700012,US-WA,28
Washington,1965,72.24493027,US-WA,28
Washington,1966,67.09545135,US-WA,28
Washington,1967,85.3518898,US-WA,28
Washington,1968,57.18504257,US-WA,28
Washington,1969,70.40761833,US-WA,28
Washington,1970,78.20067825,US-WA,28
Washington,1971,61.43659019,US-WA,28
Washington,1972,64.33165398,US-WA,28
Washington,1973,79.51143227,US-WA,28
Washington,1974,83.15261841,US-WA,28
Washington,1975,63.80897865,US-WA,28
Washington,1976,62.46006012,US-WA,28
Washington,1977,66.31455421,US-WA,28
Washington,1978,59.6361927,US-WA,28
Washington,1979,75.07021656,US-WA,28
Washington,1980,57.42493286,US-WA,28
Washington,1981,58.25416222,US-WA,28
Washington,1982,57.86587601,US-WA,28
Washington,1983,50.67629204,US-WA,28
Washington,1984,63.28749352,US-WA,28
Washington,1985,74.03962822,US-WA,28
Washington,1986,69.93119545,US-WA,28
Washington,1987,86.3207428,US-WA,28
Washington,1988,74.61959381,US-WA,28
Washington,1989,70.72017975,US-WA,28
British Columbia,1960,18.95844276,CA-BC,29
British Columbia,1961,26.36820401,CA-BC,29
British Columbia,1962,11.03549353,CA-BC,29
British Columbia,1963,15.61152859,CA-BC,29
British Columbia,1964,6.137466383,CA-BC,29
British Columbia,1965,22.15245471,CA-BC,29
British Columbia,1966,13.95849743,CA-BC,29
British Columbia,1967,30.22499341,CA-BC,29
British Columbia,1968,11.34009241,CA-BC,29
British Columbia,1969,17.58041286,CA-BC,29
British Columbia,1970,23.85056186,CA-BC,29
British Columbia,1971,14.97141366,CA-BC,29
British Columbia,1972,10.25166595,CA-BC,29
British Columbia,1973,21.52797814,CA-BC,29
British Columbia,1974,21.37818489,CA-BC,29
British Columbia,1975,15.90688064,CA-BC,29
British Columbia,1976,6.909889054,CA-BC,29
British Columbia,1977,12.52107644,CA-BC,29
British Columbia,1978,18.58458092,CA-BC,29
British Columbia,1979,20.21815739,CA-BC,29
British Columbia,1980,8.785576367,CA-BC,29
British Columbia,1981,20.95577915,CA-BC,29
British Columbia,1982,12.30876434,CA-BC,29
British Columbia,1983,8.635456252,CA-BC,29
British Columbia,1984,13.54367426,CA-BC,29
British Columbia,1985,26.73605776,CA-BC,29
British Columbia,1986,18.26684585,CA-BC,29
British Columbia,1987,20.63452387,CA-BC,29
British Columbia,1988,12.93013749,CA-BC,29
British Columbia,1989,18.69006341,CA-BC,29
Idaho,1960,109.9549019,US-ID,4
Idaho,1961,99.80015945,US-ID,4
Idaho,1962,99.39615631,US-ID,4
Idaho,1963,84.28281555,US-ID,4
Idaho,1964,87.0775238,US-ID,4
Idaho,1965,81.01940308,US-ID,4
Idaho,1966,113.9293747,US-ID,4
Idaho,1967,93.76441002,US-ID,4
Idaho,1968,74.8057312,US-ID,4
Idaho,1969,92.70213699,US-ID,4
Idaho,1970,83.47328568,US-ID,4
Idaho,1971,87.43226242,US-ID,4
Idaho,1972,91.47803192,US-ID,4
Idaho,1973,104.6196548,US-ID,4
Idaho,1974,112.0042572,US-ID,4
Idaho,1975,84.53595428,US-ID,4
Idaho,1976,84.91432266,US-ID,4
Idaho,1977,96.69107437,US-ID,4
Idaho,1978,87.19543304,US-ID,4
Idaho,1979,102.4941925,US-ID,4
Idaho,1980,79.63102875,US-ID,4
Idaho,1981,95.2273262,US-ID,4
Idaho,1982,66.80452271,US-ID,4
Idaho,1983,68.8859581,US-ID,4
Idaho,1984,72.15074615,US-ID,4
Idaho,1985,93.43171844,US-ID,4
Idaho,1986,88.06960297,US-ID,4
Idaho,1987,105.6418091,US-ID,4
Idaho,1988,120.8117676,US-ID,4
Idaho,1989,91.45930023,US-ID,4
Montana,1960,119.4301453,US-MT,6
Montana,1961,111.7802109,US-MT,6
Montana,1962,88.33928986,US-MT,6
Montana,1963,95.77621384,US-MT,6
Montana,1964,91.4766964,US-MT,6
Montana,1965,74.08928032,US-MT,6
Montana,1966,104.3655396,US-MT,6
Montana,1967,97.30762672,US-MT,6
Montana,1968,74.59158401,US-MT,6
Montana,1969,89.25852242,US-MT,6
Montana,1970,97.64782562,US-MT,6
Montana,1971,102.6273655,US-MT,6
Montana,1972,87.09106522,US-MT,6
Montana,1973,105.7172302,US-MT,6
Montana,1974,106.9027756,US-MT,6
Montana,1975,72.10550232,US-MT,6
Montana,1976,94.31716537,US-MT,6
Montana,1977,97.84543839,US-MT,6
Montana,1978,84.4228775,US-MT,6
Montana,1979,114.2236282,US-MT,6
Montana,1980,88.93051147,US-MT,6
Montana,1981,96.45801239,US-MT,6
Montana,1982,76.49316711,US-MT,6
Montana,1983,92.90413132,US-MT,6
Montana,1984,99.08695984,US-MT,6
Montana,1985,94.32611427,US-MT,6
Montana,1986,82.75003958,US-MT,6
Montana,1987,96.43153687,US-MT,6
Montana,1988,130.3564499,US-MT,6
Montana,1989,92.0092865,US-MT,6
Alberta,1960,35.72186737,CA-AB,1
Alberta,1961,47.598983,CA-AB,1
Alberta,1962,27.93777885,CA-AB,1
Alberta,1963,40.50521812,CA-AB,1
Alberta,1964,32.80179443,CA-AB,1
Alberta,1965,29.47637405,CA-AB,1
Alberta,1966,33.20357952,CA-AB,1
Alberta,1967,53.23014278,CA-AB,1
Alberta,1968,31.24694538,CA-AB,1
Alberta,1969,42.23740129,CA-AB,1
Alberta,1970,44.21580906,CA-AB,1
Alberta,1971,40.48496056,CA-AB,1
Alberta,1972,26.48391552,CA-AB,1
Alberta,1973,26.08808804,CA-AB,1
